x_initial,t_initial,u_zero_initial
0.0,0.0,-0.04835659912317461
0.034482758620689655,0.0,-0.052978893784105724
0.06896551724137931,0.0,-0.05330306430228992
0.10344827586206896,0.0,-0.049289100453234605
0.13793103448275862,0.0,-0.04123887661445364
0.1724137931034483,0.0,-0.029773607570302788
0.20689655172413793,0.0,-0.015786597334876615
0.24137931034482757,0.0,-0.00037483867151723825
0.27586206896551724,0.0,0.015245362241959496
0.3103448275862069,0.0,0.029832332862584403
0.3448275862068966,0.0,0.042215402538543674
0.3793103448275862,0.0,0.0513863327298903
0.41379310344827586,0.0,0.05657879688595213
0.4482758620689655,0.0,0.05732977569564868
0.48275862068965514,0.0,0.05351807809459297
0.5172413793103449,0.0,0.0453769101410844
0.5517241379310345,0.0,0.033479365293817884
0.5862068965517241,0.0,0.01869775502214432
0.6206896551724138,0.0,0.002139684818084426
0.6551724137931034,0.0,-0.014934441788852887
0.6896551724137931,0.0,-0.031206373992368898
0.7241379310344828,0.0,-0.04540031951318762
0.7586206896551724,0.0,-0.05638105117934395
0.7931034482758621,0.0,-0.06324237021983635
0.8275862068965517,0.0,-0.06537915192034432
0.8620689655172413,0.0,-0.06253738151378109
0.896551724137931,0.0,-0.05483819747871052
0.9310344827586207,0.0,-0.042773878110500776
0.9655172413793103,0.0,-0.027175793987340532
1.0,0.0,-0.009156449200947662
